,Dep_Airport,Dep_City,Dest_Airport,Dest_City,utc_departure,utc_arrival,return_utc_departure,return_utc_arrival,nights_in_dest,fare_category,price_PLN,airline_id,distance_km
30,WRO,Wrocław,BCN,Barcelona,2024-03-26 05:30:00,2024-03-26 08:20:00,2024-04-05 07:30:00,2024-04-05 10:15:00,10,M,575,W6,1573.49
31,WRO,Wrocław,BCN,Barcelona,2024-03-26 05:30:00,2024-03-26 08:20:00,2024-04-08 07:35:00,2024-04-08 10:20:00,13,M,661,W6,1573.49
32,WRO,Wrocław,BCN,Barcelona,2024-03-26 05:30:00,2024-03-26 08:20:00,2024-03-30 09:00:00,2024-03-30 11:45:00,4,M,790,W6,1573.49
33,WRO,Wrocław,BCN,Barcelona,2024-03-26 05:30:00,2024-03-26 08:20:00,2024-03-28 09:00:00,2024-03-28 11:45:00,2,M,897,W6,1573.49
34,WRO,Wrocław,BCN,Barcelona,2024-03-26 05:30:00,2024-03-26 08:20:00,2024-04-01 07:35:00,2024-04-01 10:20:00,6,M,1851,W6,1573.49
35,WRO,Wrocław,AGP,Málaga,2024-03-27 05:30:00,2024-03-27 09:20:00,2024-04-09 08:40:00,2024-04-09 12:20:00,13,M,558,W6,2333.99
36,WRO,Wrocław,AGP,Málaga,2024-03-27 05:30:00,2024-03-27 09:20:00,2024-04-06 07:35:00,2024-04-06 11:15:00,10,M,730,W6,2333.99
37,WRO,Wrocław,AGP,Málaga,2024-03-27 05:30:00,2024-03-27 09:20:00,2024-04-02 08:40:00,2024-04-02 12:20:00,6,M,1613,W6,2333.99
38,WRO,Wrocław,BCN,Barcelona,2024-03-28 05:30:00,2024-03-28 08:20:00,2024-04-10 07:30:00,2024-04-10 10:15:00,13,M,692,W6,1573.49
39,WRO,Wrocław,BCN,Barcelona,2024-03-28 05:30:00,2024-03-28 08:20:00,2024-04-05 07:30:00,2024-04-05 10:15:00,8,M,735,W6,1573.49
40,WRO,Wrocław,BCN,Barcelona,2024-03-28 05:30:00,2024-03-28 08:20:00,2024-04-03 07:30:00,2024-04-03 10:15:00,6,M,735,W6,1573.49
41,WRO,Wrocław,BCN,Barcelona,2024-03-28 05:30:00,2024-03-28 08:20:00,2024-04-08 07:35:00,2024-04-08 10:20:00,11,M,821,W6,1573.49
42,WRO,Wrocław,BCN,Barcelona,2024-03-28 05:30:00,2024-03-28 08:20:00,2024-03-30 09:00:00,2024-03-30 11:45:00,2,M,950,W6,1573.49
43,WRO,Wrocław,BCN,Barcelona,2024-03-28 05:30:00,2024-03-28 08:20:00,2024-04-01 07:35:00,2024-04-01 10:20:00,4,M,2010,W6,1573.49
44,WRO,Wrocław,LPA,Las Palmas,2024-03-29 13:30:00,2024-03-29 18:45:00,2024-04-05 13:10:00,2024-04-05 18:05:00,7,M,4589,E4,3732.12
45,WRO,Wrocław,BCN,Barcelona,2024-03-30 05:30:00,2024-03-30 08:20:00,2024-04-10 07:30:00,2024-04-10 10:15:00,11,M,782,W6,1573.49
46,WRO,Wrocław,BCN,Barcelona,2024-03-30 05:30:00,2024-03-30 08:20:00,2024-04-12 07:30:00,2024-04-12 10:15:00,13,M,782,W6,1573.49
47,WRO,Wrocław,BCN,Barcelona,2024-03-30 05:30:00,2024-03-30 08:20:00,2024-04-03 07:30:00,2024-04-03 10:15:00,4,M,825,W6,1573.49
48,WRO,Wrocław,BCN,Barcelona,2024-03-30 05:30:00,2024-03-30 08:20:00,2024-04-05 07:30:00,2024-04-05 10:15:00,6,M,825,W6,1573.49
49,WRO,Wrocław,BCN,Barcelona,2024-03-30 05:30:00,2024-03-30 08:20:00,2024-04-08 07:35:00,2024-04-08 10:20:00,9,M,911,W6,1573.49
50,WRO,Wrocław,BCN,Barcelona,2024-03-30 05:30:00,2024-03-30 08:20:00,2024-04-01 07:35:00,2024-04-01 10:20:00,2,M,2101,W6,1573.49
51,WRO,Wrocław,BCN,Barcelona,2024-04-01 04:10:00,2024-04-01 06:50:00,2024-04-12 07:30:00,2024-04-12 10:15:00,11,M,782,W6,1573.49
52,WRO,Wrocław,BCN,Barcelona,2024-04-01 04:10:00,2024-04-01 06:50:00,2024-04-10 07:30:00,2024-04-10 10:15:00,9,M,782,W6,1573.49
53,WRO,Wrocław,BCN,Barcelona,2024-04-01 04:10:00,2024-04-01 06:50:00,2024-04-05 07:30:00,2024-04-05 10:15:00,4,M,825,W6,1573.49
54,WRO,Wrocław,BCN,Barcelona,2024-04-01 04:10:00,2024-04-01 06:50:00,2024-04-03 07:30:00,2024-04-03 10:15:00,2,M,825,W6,1573.49
55,WRO,Wrocław,BCN,Barcelona,2024-04-01 04:10:00,2024-04-01 06:50:00,2024-04-08 07:35:00,2024-04-08 10:20:00,7,M,911,W6,1573.49
56,WRO,Wrocław,BCN,Barcelona,2024-04-01 04:10:00,2024-04-01 06:50:00,2024-04-15 07:35:00,2024-04-15 10:20:00,14,M,1578,W6,1573.49
57,WRO,Wrocław,AGP,Málaga,2024-04-02 04:05:00,2024-04-02 07:55:00,2024-04-09 08:40:00,2024-04-09 12:20:00,7,M,818,W6,2333.99
58,WRO,Wrocław,AGP,Málaga,2024-04-02 04:05:00,2024-04-02 07:55:00,2024-04-16 08:40:00,2024-04-16 12:20:00,14,M,904,W6,2333.99
59,WRO,Wrocław,AGP,Málaga,2024-04-02 04:05:00,2024-04-02 07:55:00,2024-04-13 07:35:00,2024-04-13 11:15:00,11,M,947,W6,2333.99
60,WRO,Wrocław,AGP,Málaga,2024-04-02 04:05:00,2024-04-02 07:55:00,2024-04-06 07:35:00,2024-04-06 11:15:00,4,M,990,W6,2333.99
61,WRO,Wrocław,BCN,Barcelona,2024-04-03 04:10:00,2024-04-03 06:50:00,2024-04-12 07:30:00,2024-04-12 10:15:00,9,M,582,W6,1573.49
62,WRO,Wrocław,BCN,Barcelona,2024-04-03 04:10:00,2024-04-03 06:50:00,2024-04-10 07:30:00,2024-04-10 10:15:00,7,M,582,W6,1573.49
63,WRO,Wrocław,BCN,Barcelona,2024-04-03 04:10:00,2024-04-03 06:50:00,2024-04-05 07:30:00,2024-04-05 10:15:00,2,M,625,W6,1573.49
64,WRO,Wrocław,BCN,Barcelona,2024-04-03 04:10:00,2024-04-03 06:50:00,2024-04-08 07:35:00,2024-04-08 10:20:00,5,M,711,W6,1573.49
65,WRO,Wrocław,BCN,Barcelona,2024-04-03 04:10:00,2024-04-03 06:50:00,2024-04-17 07:30:00,2024-04-17 10:15:00,14,M,904,W6,1573.49
